,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,user_type,instant_bookable_f,instant_bookable_t,cancel_pol_flexible,cancel_pol_moderate,cancel_pol_strict,cancel_pol_super_strict_30,Prop_type_Apartment,Prop_type_Bed_&_Breakfast,Prop_type_Boat,Prop_type_Camper/RV,Prop_type_Condominium,Prop_type_Dorm,Prop_type_Entire_Floor,Prop_type_Guesthouse,Prop_type_House,Prop_type_Loft,Prop_type_Other,Prop_type_Townhouse,Prop_type_Villa,Room_type_Entire_home/apt,Room_type_Private_room,Room_type_Shared_room,24-Hour_Check-in,Air_Conditioning,Breakfast,Buzzer/Wireless_Intercom,Cable_TV,Carbon_Monoxide_Detector,Cat(s),Dog(s),Doorman,Dryer,Elevator_in_Building,Essentials,Family/Kid_Friendly,Fire_Extinguisher,First_Aid_Kit,Free_Parking_on_Premises,Free_Parking_on_Street,Gym,Hair_Dryer,Hangers,Heating,Hot_Tub,Indoor_Fireplace,Internet,Iron,Kitchen,Laptop_Friendly_Workspace,Lock_on_Bedroom_Door,Other_pet(s),Paid_Parking_Off_Premises,Pets_Allowed,Pets_live_on_this_property,Pool,Safety_Card,Shampoo,Smoke_Detector,Smoking_Allowed,Suitable_for_Events,TV,Washer,Washer_/_Dryer,Wheelchair_Accessible,Wireless_Internet
29,2,1.0,1.0,1.0,67.0,40.0,1,1,20,96.0,10.0,9.0,10.0,10.0,9.0,10.0,0.58,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
30,1,1.0,1.0,1.0,55.0,0.0,1,1,30,92.0,10.0,9.0,10.0,10.0,9.0,9.0,1.93,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
31,6,1.0,2.0,2.0,200.0,85.0,4,2,2,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.38,Casual,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
33,1,1.0,1.0,1.0,49.0,0.0,1,5,10,98.0,9.0,9.0,10.0,10.0,9.0,10.0,0.72,Professional,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
34,1,1.5,1.0,1.0,75.0,0.0,1,1,17,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.59,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
35,4,1.0,1.0,2.0,110.0,25.0,2,3,55,87.0,9.0,9.0,10.0,10.0,9.0,9.0,2.36,Casual,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
37,16,1.0,3.0,5.0,125.0,50.0,1,1,24,91.0,10.0,10.0,10.0,10.0,9.0,9.0,2.07,Professional,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
38,16,2.5,3.0,7.0,200.0,50.0,1,1,82,95.0,10.0,10.0,10.0,10.0,10.0,9.0,4.32,Professional,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
39,2,2.0,1.0,1.0,75.0,10.0,1,1,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.87,Casual,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
40,1,1.0,1.0,1.0,78.0,25.0,1,3,21,95.0,9.0,9.0,10.0,10.0,9.0,9.0,0.87,Casual,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,1.0,1.0,2.0,50.0,10.0,1,2,10,96.0,10.0,10.0,10.0,10.0,10.0,10.0,5.77,Casual,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
42,1,1.0,1.0,1.0,60.0,0.0,1,1,143,98.0,10.0,10.0,10.0,10.0,9.0,10.0,4.39,Casual,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
43,1,1.5,1.0,1.0,45.0,0.0,1,2,2,100.0,9.0,10.0,10.0,9.0,7.0,9.0,0.54,Professional,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
44,4,1.0,2.0,2.0,145.0,56.0,3,5,26,92.0,10.0,10.0,10.0,10.0,9.0,9.0,0.74,Casual,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
45,2,2.0,1.0,1.0,45.0,0.0,1,2,5,96.0,10.0,9.0,10.0,10.0,9.0,9.0,3.13,Casual,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
